"","accession","n_seeds","total_area","mean_area","seed_area_sd","mean_convex_hull_area","total_perimeter","mean_perimeter","mean_seed_length","mean_seed_width","mean_seed_extent","mean_solidity","mean_equi_dia","mean_aspect_ratio","plant_id","seedlot","remainder_seed_weight_g","seed_5rac_wt_g","number_of_racemes","subsample","total_seed_weight_g","image_weights_g","seeds_per_g"
"36","2423",113,119687,1059.17699115044,147.572211747848,1090.15486725664,14163.0534031391,125.336755779992,41.8459887209192,32.8353858036278,0.716742712603557,0.971334962940069,36.625169079264,0.787865712463342,"Ta07823","Oa085AA087189_seed_lot",0.3426,0.6731,NA,0.2353,1.0157,0.2353,480.237994050149
"37","2424",116,81797,705.146551724138,119.855910181339,723.366379310345,11732.0602030754,101.138450026512,34.2330134326014,26.4575004495423,0.722535067700898,0.974086452861128,29.834714034076,0.773201380930232,"Ta07507","Oa074AA086906_seed_lot",0.7429,0.3275,NA,0.1815,1.0704,0.1815,639.118457300276
"38","2425",187,138636.5,741.371657754011,158.223596716766,761.344919786096,19313.1503903866,103.278879092976,34.0991221035228,27.8726920469559,0.723954472348033,0.972825569959841,30.5092935753186,0.821468271977677,"Ta07575","Oa077AA086966_seed_lot",1.0634,0.3057,NA,NA,1.3691,0.3057,611.710827608767
"39","2426",141,110730.5,785.322695035461,84.2451171699026,805.599290780142,15190.8738105297,107.7366936917,37.0837731462844,27.3914999048761,0.71724362807043,0.974860746456047,31.5747652215633,0.741421716273649,NA,NA,0.58,0.2092,NA,NA,0.7892,0.2092,673.996175908222
"40","2427",105,94999,904.752380952381,104.983220358191,929.804761904762,12113.9567379951,115.371016552335,39.0943760281517,29.8252259209043,0.717118734991785,0.973135452475717,33.8785059765421,0.766195614748352,"Ta07573","Oa077AA086966_seed_lot",2.8544,0.2122,NA,NA,3.0666,0.2122,494.816211121583
"41","2428",84,58700.5,698.815476190476,93.7104866051314,717.285714285714,8426.9278421402,100.320569549288,32.4229735646929,27.9547993115016,0.731333460059864,0.974366885965081,29.7707934228133,0.864923967419977,"Ta07497","Oa074AA086906_seed_lot",0.2094,0.1243,NA,NA,0.3337,0.1243,675.784392598552
"42","2429",88,63293.5,719.244318181818,154.927198222117,739.426136363636,8989.97156012058,102.158767728643,34.1217576807195,27.2240528193387,0.725655918611255,0.973158983990354,30.1002750948477,0.805186288318603,"Ta07567","Oa077AA086966_seed_lot",1.2884,0.1282,NA,NA,1.4166,0.1282,686.427457098284
"43","2430",110,89713,815.572727272727,92.5364256661265,836.772727272727,12002.0257167816,109.109324698015,36.4258362509988,28.9819283051924,0.725960604851702,0.974694688288103,32.1726935879527,0.799259246460523,"Ta07574","Oa077AA086966_seed_lot",1.6692,0.3275,NA,0.1888,1.9967,0.1888,582.627118644068
"44","2431",24,17180,715.833333333333,138.097529073593,734.458333333333,2448.42465102673,102.01769379278,34.8068686326345,26.4251314004262,0.715346556722535,0.974749381394015,30.0740414106325,0.760987312553765,"Ta07566","Oa077AA086966_seed_lot",0.0027,0.0392,NA,NA,0.0419,0.0392,612.244897959184
"45","2432",115,102264.5,889.25652173913,108.39977109644,916.478260869565,13334.9487174749,115.95607580413,40.6635141787322,28.2867821361708,0.707432252602069,0.970113042465533,33.5473897167869,0.695664726335382,"Ta07572","Oa077AA086966_seed_lot",2.1203,0.2092,NA,NA,2.3295,0.2092,549.713193116635
"46","2433",10,5817.5,581.75,297.155706472026,608.55,922.506702423096,92.2506702423096,31.9510353088379,22.8819725036621,0.658942721118984,0.949751811306156,26.0886731732142,0.695257406996067,"Ta07936","Oa087AA087256_seed_lot",0.5943,0.0079,NA,NA,0.6022,0.0079,1265.82278481013
"47","2434",113,64991.5,575.146017699115,154.133518207081,593.601769911504,10440.5097833872,92.3938918883822,31.822781064869,23.4656555969103,0.701581119782151,0.967932094709371,26.7995413970606,0.741026828543923,"Ta06851","Oa054AA086341_seed_lot",2.889,0.2314,NA,0.1209,3.1204,0.1209,934.656741108354
"48","2435",100,63102.5,631.025,107.884393208563,649.595,9605.09853494167,96.0509853494167,32.3289933776855,25.2322648239136,0.722239212789671,0.972402129644538,28.2591553719915,0.786520774671195,"Ta07043","Oa062AA086548_seed_lot",0.3664,0.1326,NA,NA,0.499,0.1326,754.147812971342
"49","2436",262,63241,241.37786259542,179.594515523559,262.427480916031,15956.4259774685,60.902389226979,21.2259819671398,14.7492339374455,0.625008587608022,0.924765599096818,16.5218692763523,0.701655113500587,"Ta06852","Oa054AA086341_seed_lot",2.1064,0.0785,NA,NA,2.1849,0.0785,3337.57961783439
"50","2437",71,53005,746.549295774648,79.8922110869021,766.12676056338,7406.84754478931,104.321796405483,34.9777275139177,27.6043605804443,0.720594472659028,0.974447891832665,30.7858426907078,0.790814788779761,"Ta07071","Oa063AA086592_seed_lot",1.8393,0.1129,NA,NA,1.9522,0.1129,628.875110717449
